Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
60,2020-03-04,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
61,2020-03-05,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
62,2020-03-06,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
63,2020-03-07,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
64,2020-03-08,0.9999999923724046,7.627595407565153e-09,0.0,0.0,37457975.71428572,0.2857142857142857,0.0,0.0,0.0,0.0,1.1
65,2020-03-09,0.9999999847448091,1.5255190815130306e-08,0.0,0.0,37457975.428571425,0.5714285714285714,0.0,0.0,0.0,0.0,1.1
66,2020-03-10,0.9999999771172138,2.288278622269546e-08,0.0,0.0,37457975.14285714,0.8571428571428571,0.0,0.0,0.0,0.0,1.1
67,2020-03-11,0.9999999694896183,3.051038163026061e-08,0.0,0.0,37457974.85714286,1.1428571428571428,0.0,0.0,0.0,0.0,1.1
68,2020-03-12,0.9999999618620229,3.813797703782576e-08,0.0,0.0,37457974.571428575,1.4285714285714286,0.0,0.0,0.0,0.0,1.1
69,2020-03-13,0.9999999542344276,4.576557244539092e-08,0.0,0.0,37457974.28571428,1.7142857142857142,0.0,0.0,0.0,0.0,1.1
70,2020-03-14,0.9999999466068321,5.339316785295607e-08,0.0,0.0,37457974.0,2.0,0.0,0.0,0.0,0.0,1.1
71,2020-03-15,0.9999998855860689,1.1060013340969471e-07,0.0,3.8137977037825765e-09,37457971.71428572,4.142857142857143,0.0,0.14285714285714285,0.0,0.0,1.1
72,2020-03-16,0.9999998245653057,1.6780709896643333e-07,0.0,7.627595407565153e-09,37457969.428571425,6.285714285714286,0.0,0.2857142857142857,0.0,0.0,1.1
73,2020-03-17,0.9999997635445423,2.2501406452317202e-07,0.0,1.144139311134773e-08,37457967.14285714,8.428571428571429,0.0,0.42857142857142855,0.0,0.0,1.1
74,2020-03-18,0.9999997025237791,2.8222103007991065e-07,0.0,1.5255190815130306e-08,37457964.85714286,10.571428571428571,0.0,0.5714285714285714,0.0,0.0,1.1
75,2020-03-19,0.9999996415030159,3.394279956366494e-07,0.0,1.906898851891288e-08,37457962.571428575,12.714285714285714,0.0,0.7142857142857143,0.0,0.0,1.1
76,2020-03-20,0.9999995804822527,3.9663496119338797e-07,0.0,2.288278622269546e-08,37457960.28571428,14.857142857142858,0.0,0.8571428571428571,0.0,0.0,1.1
77,2020-03-21,0.9999995194614894,4.538419267501266e-07,0.0,2.6696583926478034e-08,37457958.0,17.0,0.0,1.0,0.0,0.0,1.1
78,2020-03-22,0.9999992181714709,7.47504349941385e-07,0.0,3.432417933404319e-08,37457946.71428572,28.0,0.0,1.2857142857142858,0.0,0.0,1.1
79,2020-03-23,0.9999989168814521,1.0411667731326434e-06,0.0,4.195177474160833e-08,37457935.428571425,39.0,0.0,1.5714285714285714,0.0,0.0,1.1
80,2020-03-24,0.9999986155914335,1.3348291963239017e-06,0.0,4.957937014917349e-08,37457924.14285714,50.0,0.0,1.8571428571428572,0.0,0.0,1.1
81,2020-03-25,0.999998314301415,1.62849161951516e-06,0.0,5.720696555673864e-08,37457912.85714286,61.0,0.0,2.142857142857143,0.0,0.0,1.1
82,2020-03-26,0.9999980130113963,1.9221540427064186e-06,0.0,6.483456096430379e-08,37457901.571428575,72.0,0.0,2.4285714285714284,0.0,0.0,1.1
83,2020-03-27,0.9999977117213776,2.215816465897677e-06,0.0,7.246215637186894e-08,37457890.28571428,83.0,0.0,2.7142857142857144,0.0,0.0,1.1
84,2020-03-28,0.9999974104313591,2.5094788890889353e-06,0.0,8.00897517794341e-08,37457879.0,94.0,0.0,3.0,0.0,0.0,1.1
85,2020-03-29,0.9999962624782502,3.573528448444274e-06,0.0,1.6399330126265077e-07,37457836.0,133.85714285714286,0.0,6.142857142857143,0.0,0.0,1.1
86,2020-03-30,0.9999951145251414,4.6375780077996125e-06,0.0,2.4789685074586746e-07,37457793.0,173.71428571428572,0.0,9.285714285714286,0.0,0.0,1.1
87,2020-03-31,0.9999939665720327,5.7016275671549515e-06,0.0,3.318004002290841e-07,37457750.0,213.57142857142858,0.0,12.428571428571429,0.0,0.0,1.1
88,2020-04-01,0.9999928186189238,6.765677126510291e-06,0.0,4.157039497123008e-07,37457707.0,253.42857142857142,0.0,15.571428571428571,0.0,0.0,1.1
89,2020-04-02,0.9999916706658148,7.829726685865629e-06,0.0,4.996074991955175e-07,37457664.0,293.2857142857143,0.0,18.714285714285715,0.0,0.0,1.1
90,2020-04-03,0.9999905227127062,8.893776245220968e-06,0.0,5.835110486787341e-07,37457621.0,333.14285714285717,0.0,21.857142857142858,0.0,0.0,1.1
91,2020-04-04,0.9999893747595973,9.957825804576307e-06,0.0,6.674145981619509e-07,37457578.0,373.0,0.0,25.0,0.0,0.0,1.1
92,2020-04-05,0.9999873877709936,1.1674034771278466e-05,1.4111051503995532e-07,7.970837200905584e-07,37457503.571428575,437.2857142857143,5.285714285714286,29.857142857142858,0.0,0.0,1.1
93,2020-04-06,0.99998540078239,1.3390243737980625e-05,2.8222103007991065e-07,9.26752842019166e-07,37457429.14285714,501.57142857142856,10.571428571428571,34.714285714285715,0.0,0.0,1.1
94,2020-04-07,0.9999834137937862,1.5106452704682784e-05,4.23331545119866e-07,1.0564219639477737e-06,37457354.71428572,565.8571428571429,15.857142857142858,39.57142857142857,0.0,0.0,1.1
95,2020-04-08,0.9999814268051825,1.6822661671384945e-05,5.644420601598213e-07,1.1860910858763813e-06,37457280.28571428,630.1428571428571,21.142857142857142,44.42857142857143,0.0,0.0,1.1
96,2020-04-09,0.9999794398165788,1.8538870638087105e-05,7.055525751997765e-07,1.3157602078049887e-06,37457205.85714286,694.4285714285714,26.428571428571427,49.285714285714285,0.0,0.0,1.1
97,2020-04-10,0.9999774528279752,2.0255079604789264e-05,8.46663090239732e-07,1.4454293297335963e-06,37457131.428571425,758.7142857142857,31.714285714285715,54.142857142857146,0.0,0.0,1.1
98,2020-04-11,0.9999754658393716,2.1971288571491423e-05,9.877736052796873e-07,1.575098451662204e-06,37457057.0,823.0,37.0,59.0,0.0,0.0,1.1
