Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
47,2020-02-20,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
48,2020-02-21,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
49,2020-02-22,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
50,2020-02-23,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
51,2020-02-24,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
52,2020-02-25,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
53,2020-02-26,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
54,2020-02-27,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
55,2020-02-28,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
56,2020-02-29,0.9999986618668225,1.287317993561784e-06,1.6938394652128736e-08,3.387678930425747e-08,59037393.0,76.0,1.0,2.0,0.0,0.0,3.18
57,2020-03-01,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
58,2020-03-02,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
59,2020-03-03,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
60,2020-03-04,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
61,2020-03-05,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
62,2020-03-06,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
63,2020-03-07,0.9999804530925714,1.905569398364483e-05,0.0,4.912134449117334e-07,59036318.0,1125.0,0.0,29.0,0.0,0.0,3.18
64,2020-03-08,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
65,2020-03-09,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
66,2020-03-10,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
67,2020-03-11,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
68,2020-03-12,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
69,2020-03-13,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
70,2020-03-14,0.9998977429114851,9.831044256095518e-05,0.0,3.946645953945996e-06,59031435.0,5804.0,0.0,233.0,0.0,0.0,3.18
71,2020-03-15,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
72,2020-03-16,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
73,2020-03-17,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
74,2020-03-18,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
75,2020-03-19,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
76,2020-03-20,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
77,2020-03-21,0.9996363326668188,0.00033925910648748643,0.0,2.440822669371751e-05,59016002.0,20029.0,0.0,1441.0,0.0,0.0,3.18
78,2020-03-22,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
79,2020-03-23,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
80,2020-03-24,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
81,2020-03-25,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
82,2020-03-26,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
83,2020-03-27,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
84,2020-03-28,0.9990924746913282,0.0008078767329332801,1.7920821541952202e-05,8.172775419652115e-05,58983894.0,47695.0,1058.0,4825.0,0.0,0.0,3.18
85,2020-03-29,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
86,2020-03-30,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
87,2020-03-31,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
88,2020-04-01,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
89,2020-04-02,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
90,2020-04-03,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
91,2020-04-04,0.9984336727697284,0.0012079616146165608,0.00018859208605680135,0.00016977352959828633,58945000.0,71315.0,11134.0,10023.0,0.0,0.0,3.18
92,2020-04-05,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
93,2020-04-06,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
94,2020-04-07,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
95,2020-04-08,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
96,2020-04-09,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
